   1482   1484   1510   1533   1532   1504   1485   1477   1478   1482
   1483   1492   1515   1562   1518   1508   1505   1483   1477   1477
   1507   1507   1487   1477   1507   1505   1489   1477   1473   1469
   1507   1491   1475   1477   1497   1477   1475   1476   1460   1447
   1480   1460   1477   1481   1478   1477   1457   1468   1449   1447
   1481   1447   1449   1480   1450   1475   1457   1448   1447   1447
   1446   1446   1450   1500   1458   1447   1447   1447   1447   1466
   1386   1386   1446   1446   1447   1447   1455   1446   1474   1477
   1386   1386   1447   1470   1469   1476   1488   1466   1474   1480
   1425   1386   1418   1473   1457   1477   1461   1463   1477   1490
   
